title,rating,year,popularity
Dead Man,7.6,1995,90442
The Bridges of Madison County,7.6,1995,73172
Trois couleurs: Blanc,7.6,1994,64390
Falling Down,7.6,1993,171640
Dazed and Confused,7.6,1993,165465
My Cousin Vinny,7.6,1992,107325
Omohide poro poro,7.6,1991,27071
Delicatessen,7.6,1991,80487
Home Alone,7.6,1990,488817
The Godfather: Part III,7.6,1990,359809
When Harry Met Sally...,7.6,1989,195663
The Little Mermaid,7.6,1989,237696
The Naked Gun: From the Files of Police Squad!,7.6,1988,152871
"Planes, Trains & Automobiles",7.6,1987,124773
Lethal Weapon,7.6,1987,236894
Blood Simple,7.6,1984,87745
On Golden Pond,7.6,1981,27650
Mad Max 2,7.6,1981,166588
The Warriors,7.6,1979,93878
The Muppet Movie,7.6,1979,32802
Escape from Alcatraz,7.6,1979,121731
Watership Down,7.6,1978,33656
Midnight Express,7.6,1978,73662
Close Encounters of the Third Kind,7.6,1977,184966
The Long Goodbye,7.6,1973,26337
Giù la testa,7.6,1971,30144
Kelly's Heroes,7.6,1970,45338
The Jungle Book,7.6,1967,166409
Blowup,7.6,1966,56513
A Hard Day's Night,7.6,1964,40351
Breakfast at Tiffany's,7.6,1961,166544
Giant,7.6,1956,34075
From Here to Eternity,7.6,1953,43374
Lifeboat,7.6,1944,26471
The 39 Steps,7.6,1935,51853
